age,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
5-14 years,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3
15-24 years,1.8,1.9,2.2,2.8,3.1,3.3,3.5,3.9,4.2,4,4.1,4.6,4.6,4.4,4.8,5,5.9,7,7.9
25-34 years,4.6,4.6,5.2,6.2,7.1,7.2,8.5,9.5,10.1,9.9,10.4,11.9,12.8,13.1,13,14.1,15.7,19.9,22
35-54 years,15.9,16.9,19.5,25,27.2,29.8,31.3,34.5,37.1,37.5,37.8,38.6,41.3,40.5,41.6,42.9,45.4,50,52.6
55-74 years,5.6,5.9,6.4,8,9,10,10.6,12.4,14.2,15.5,16.2,17.7,18.8,19.5,21.8,23.7,23.7,26,27.3
75+ years,6.5,6.2,6.1,6.5,6.4,6.6,6.6,7.5,7.5,7.3,7.8,7.8,7.6,7.3,6.9,7.5,7.4,6.8,7.3
