Year,Percentage,16 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 years and older,Total 16 to 24,Total 25 and older,"Total,
16 years
and older"
1990,79.3,0,1,0,0,1,0,0,0,0,0
1990,69.6,0,0,0,0,0,1,0,0,1,1
1990,63.8,0,0,1,0,0,0,1,1,0,0
1990,63.7,1,0,0,1,0,0,0,0,0,0
1990,74.4,0,1,0,0,1,0,0,0,0,0
1991,74.2,0,0,0,0,0,1,0,0,1,1
1991,93.3,0,0,1,0,0,0,1,1,0,0
1991,93.6,1,0,0,1,0,0,0,0,0,0
1991,93.3,0,1,0,0,1,0,0,0,0,0
1991,74.0,0,0,0,0,0,1,0,0,1,1
1991,81.0,0,0,1,0,0,0,1,1,0,0
1991,70.7,1,0,0,1,0,0,0,0,0,0
1991,65.0,0,1,0,0,1,0,0,0,0,0
1991,64.5,0,0,0,0,0,1,0,0,1,1
1991,68.3,0,0,1,0,0,0,1,1,0,0
1992,75.8,1,0,0,1,0,0,0,0,0,0
1992,94.0,0,1,0,0,1,0,0,0,0,0
1992,94.0,0,0,0,0,0,1,0,0,1,1
1992,94.3,0,0,1,0,0,0,1,1,0,0
1992,74.6,1,0,0,1,0,0,0,0,0,0
1992,82.0,0,1,0,0,1,0,0,0,0,0
1992,71.9,0,0,0,0,0,1,0,0,1,1
1992,65.8,0,0,1,0,0,0,1,1,0,0
1992,64.9,1,0,0,1,0,0,0,0,0,0
1992,77.9,0,1,0,0,1,0,0,0,0,0
1993,77.1,0,0,0,0,0,1,0,0,1,1
1993,94.8,0,0,1,0,0,0,1,1,0,0
1993,92.8,1,0,0,1,0,0,0,0,0,0
1993,95.4,0,1,0,0,1,0,0,0,0,0
1993,74.8,0,0,0,0,0,1,0,0,1,1
1993,83.0,0,0,1,0,0,0,1,1,0,0
1993,73.0,1,0,0,1,0,0,0,0,0,0
1993,67.4,0,1,0,0,1,0,0,0,0,0
1993,67.4,0,0,0,0,0,1,0,0,1,1
1993,74.3,0,0,1,0,0,0,1,1,0,0
1994,76.4,1,0,0,1,0,0,0,0,0,0
1994,93.9,0,1,0,0,1,0,0,0,0,0
1994,92.5,0,0,0,0,0,1,0,0,1,1
1994,94.5,0,0,1,0,0,0,1,1,0,0
1994,73.1,1,0,0,1,0,0,0,0,0,0
1994,82.9,0,1,0,0,1,0,0,0,0,0
1994,72.6,0,0,0,0,0,1,0,0,1,1
1994,67.1,0,0,1,0,0,0,1,1,0,0
1994,66.0,1,0,0,1,0,0,0,0,0,0
1994,76.2,0,1,0,0,1,0,0,0,0,0
1995,75.5,0,0,0,0,0,1,0,0,1,0
1995,90.8,0,0,1,0,0,0,1,0,0,0
1995,88.1,0,0,0,1,0,0,0,0,0,0
1995,92.4,0,0,0,0,1,0,0,0,0,0
1995,72.8,0,0,0,0,0,1,0,0,0,0
1995,82.2,0,0,0,0,0,0,1,0,0,0
1995,72.6,0,0,0,0,0,0,0,0,0,0
1995,67.7,0,0,0,0,0,0,0,0,0,0
1995,64.7,0,0,0,0,0,0,0,0,0,0
1995,80.0,0,0,0,0,0,0,0,0,0,0
1996,75.0,0,0,0,0,0,0,0,0,0,0
1996,92.5,0,0,0,0,0,0,0,0,0,0
1996,88.8,0,0,0,0,0,0,0,0,0,0
1996,92.8,0,0,0,0,0,0,0,0,0,0
1996,74.1,0,0,0,0,0,0,0,0,0,0
1996,83.2,0,0,0,0,0,0,0,0,0,0
1996,73.3,0,0,0,0,0,0,0,0,0,0
1996,68.9,0,0,0,0,0,0,0,0,0,0
1996,65.3,0,0,0,0,0,0,0,0,0,0
1996,70.0,0,0,0,0,0,0,0,0,0,0
1997,74.4,0,0,0,0,0,0,0,0,0,0
1997,92.1,0,0,0,0,0,0,0,0,0,0
1997,91.6,0,0,0,0,0,0,0,0,0,0
1997,90.5,0,0,0,0,0,0,0,0,0,0
1997,75.1,0,0,0,0,0,0,0,0,0,0
1997,82.9,0,0,0,0,0,0,0,0,0,0
1997,74.0,0,0,0,0,0,0,0,0,0,0
1997,69.4,0,0,0,0,0,0,0,0,0,0
1997,64.7,0,0,0,0,0,0,0,0,0,0
1997,77.0,0,0,0,0,0,0,0,0,0,0
1998,76.3,0,0,0,0,0,0,0,0,0,0
1998,91.3,0,0,0,0,0,0,0,0,0,0
1998,88.6,0,0,0,0,0,0,0,0,0,0
1998,89.4,0,0,0,0,0,0,0,0,0,0
1998,75.9,0,0,0,0,0,0,0,0,0,0
1998,82.9,0,0,0,0,0,0,0,0,0,0
1998,73.6,0,0,0,0,0,0,0,0,0,0
1998,70.5,0,0,0,0,0,0,0,0,0,0
1998,68.1,0,0,0,0,0,0,0,0,0,0
1998,72.6,0,0,0,0,0,0,0,0,0,0
1999,76.5,0,0,0,0,0,0,0,0,0,0
1999,91.0,0,0,0,0,0,0,0,0,0,0
1999,91.4,0,0,0,0,0,0,0,0,0,0
1999,90.5,0,0,0,0,0,0,0,0,0,0
1999,74.4,0,0,0,0,0,0,0,0,0,0
1999,81.5,0,0,0,0,0,0,0,0,0,0
1999,71.7,0,0,0,0,0,0,0,0,0,0
1999,70.0,0,0,0,0,0,0,0,0,0,0
1999,67.9,0,0,0,0,0,0,0,0,0,0
1999,78.7,0,0,0,0,0,0,0,0,0,0
2000,76.9,0,0,0,0,0,0,0,0,0,0
2000,91.7,0,0,0,0,0,0,0,0,0,0
2000,92.5,0,0,0,0,0,0,0,0,0,0
2000,92.7,0,0,0,0,0,0,0,0,0,0
2000,74.5,0,0,0,0,0,0,0,0,0,0
2000,82.4,0,0,0,0,0,0,0,0,0,0
2000,71.6,0,0,0,0,0,0,0,0,0,0
2000,73.2,0,0,0,0,0,0,0,0,0,0
2000,69.1,0,0,0,0,0,0,0,0,0,0
2000,75.1,0,0,0,0,0,0,0,0,0,0
2001,76.4,0,0,0,0,0,0,0,0,0,0
2001,90.3,0,0,0,0,0,0,0,0,0,0
2001,90.3,0,0,0,0,0,0,0,0,0,0
2001,91.9,0,0,0,0,0,0,0,0,0,0
2001,75.4,0,0,0,0,0,0,0,0,0,0
2001,83.0,0,0,0,0,0,0,0,0,0,0
2001,72.5,0,0,0,0,0,0,0,0,0,0
2001,73.5,0,0,0,0,0,0,0,0,0,0
2001,70.5,0,0,0,0,0,0,0,0,0,0
2001,69.0,0,0,0,0,0,0,0,0,0,0
2002,77.9,0,0,0,0,0,0,0,0,0,0
2002,93.9,0,0,0,0,0,0,0,0,0,0
2002,94.6,0,0,0,0,0,0,0,0,0,0
2002,93.9,0,0,0,0,0,0,0,0,0,0
2002,77.6,0,0,0,0,0,0,0,0,0,0
2002,84.5,0,0,0,0,0,0,0,0,0,0
2002,75.2,0,0,0,0,0,0,0,0,0,0
2002,74.6,0,0,0,0,0,0,0,0,0,0
2002,71.6,0,0,0,0,0,0,0,0,0,0
2002,73.8,0,0,0,0,0,0,0,0,0,0
2003,79.4,0,0,0,0,0,0,0,0,0,0
2003,93.2,0,0,0,0,0,0,0,0,0,0
2003,93.1,0,0,0,0,0,0,0,0,0,0
2003,93.9,0,0,0,0,0,0,0,0,0,0
2003,78.5,0,0,0,0,0,0,0,0,0,0
2003,86.9,0,0,0,0,0,0,0,0,0,0
2003,76.1,0,0,0,0,0,0,0,0,0,0
2003,73.0,0,0,0,0,0,0,0,0,0,0
2003,72.7,0,0,0,0,0,0,0,0,0,0
2003,71.1,0,0,0,0,0,0,0,0,0,0
2004,80.4,0,0,0,0,0,0,0,0,0,0
2004,93.8,0,0,0,0,0,0,0,0,0,0
2004,92.1,0,0,0,0,0,0,0,0,0,0
2004,93.8,0,0,0,0,0,0,0,0,0,0
2004,78.6,0,0,0,0,0,0,0,0,0,0
2004,87.8,0,0,0,0,0,0,0,0,0,0
2004,75.6,0,0,0,0,0,0,0,0,0,0
2004,72.9,0,0,0,0,0,0,0,0,0,0
2004,73.0,0,0,0,0,0,0,0,0,0,0
2004,74.6,0,0,0,0,0,0,0,0,0,0
2005,81.0,0,0,0,0,0,0,0,0,0,0
2005,93.2,0,0,0,0,0,0,0,0,0,0
2005,92.1,0,0,0,0,0,0,0,0,0,0
2005,93.8,0,0,0,0,0,0,0,0,0,0
2005,79.4,0,0,0,0,0,0,0,0,0,0
2005,89.0,0,0,0,0,0,0,0,0,0,0
2005,75.5,0,0,0,0,0,0,0,0,0,0
2005,75.5,0,0,0,0,0,0,0,0,0,0
2005,74.7,0,0,0,0,0,0,0,0,0,0
2005,76.4,0,0,0,0,0,0,0,0,0,0
2006,80.8,0,0,0,0,0,0,0,0,0,0
2006,94.5,0,0,0,0,0,0,0,0,0,0
2006,87.6,0,0,0,0,0,0,0,0,0,0
2006,94.9,0,0,0,0,0,0,0,0,0,0
2006,78.7,0,0,0,0,0,0,0,0,0,0
2006,88.2,0,0,0,0,0,0,0,0,0,0
2006,77.2,0,0,0,0,0,0,0,0,0,0
2006,73.5,0,0,0,0,0,0,0,0,0,0
2006,72.9,0,0,0,0,0,0,0,0,0,0
2006,77.5,0,0,0,0,0,0,0,0,0,0
2007,80.2,0,0,0,0,0,0,0,0,0,0
2007,92.3,0,0,0,0,0,0,0,0,0,0
2007,89.1,0,0,0,0,0,0,0,0,0,0
2007,90.3,0,0,0,0,0,0,0,0,0,0
2007,78.5,0,0,0,0,0,0,0,0,0,0
2007,86.9,0,0,0,0,0,0,0,0,0,0
2007,76.5,0,0,0,0,0,0,0,0,0,0
2007,74.5,0,0,0,0,0,0,0,0,0,0
2007,72.8,0,0,0,0,0,0,0,0,0,0
2007,77.8,0,0,0,0,0,0,0,0,0,0
2008,79.9,0,0,0,0,0,0,0,0,0,0
2008,91.1,0,0,0,0,0,0,0,0,0,0
2008,87.3,0,0,0,0,0,0,0,0,0,0
2008,92.5,0,0,0,0,0,0,0,0,0,0
2008,78.2,0,0,0,0,0,0,0,0,0,0
2008,88.5,0,0,0,0,0,0,0,0,0,0
2008,74.5,0,0,0,0,0,0,0,0,0,0
2008,74.9,0,0,0,0,0,0,0,0,0,0
2008,75.4,0,0,0,0,0,0,0,0,0,0
2008,74.8,0,0,0,0,0,0,0,0,0,0
2009,80.2,0,0,0,0,0,0,0,0,0,0
2009,92.6,0,0,0,0,0,0,0,0,0,0
2009,90.7,0,0,0,0,0,0,0,0,0,0
2009,92.9,0,0,0,0,0,0,0,0,0,0
2009,78.7,0,0,0,0,0,0,0,0,0,0
2009,88.7,0,0,0,0,0,0,0,0,0,0
2009,77.4,0,0,0,0,0,0,0,0,0,0
2009,73.6,0,0,0,0,0,0,0,0,0,0
2009,75.3,0,0,0,0,0,0,0,0,0,0
2009,76.1,0,0,0,0,0,0,0,0,0,0
